sample_id,planned_duration_months,total_units,predicted_construction_cost_growth,predicted_general_inflation_rate,predicted_usd_growth,project_payment_completion_ratio,overdue_payment_ratio,paid_late_payment_ratio,low_risk_member_ratio,medium_risk_member_ratio,high_risk_member_ratio,cash_flow_pressure_ratio,predicted_delay_months,delay_risk_level
219,42,20,44.6028,42.2667,54.6211,0.5147,0.2178,0.2106,0.2877,0.3858,0.3265,0.4104,20.01,medium
220,30,30,71.1082,45.3473,75.9033,0.5379,0.5288,0.4794,0.2873,0.2573,0.4554,0.5609,36.28,high
221,24,30,44.5421,33.0265,28.0137,0.7787,0.101,0.133,0.4266,0.4195,0.1539,0.2,10.7,low
222,36,48,73.3783,48.9029,84.5792,0.4028,0.5942,0.3005,0.1743,0.2772,0.5485,0.5692,49.01,high
223,42,36,83.4846,42.8194,79.3292,0.349,0.5006,0.3906,0.216,0.3716,0.4123,0.6513,43.93,high
224,24,20,40.5348,32.2179,25.7031,0.7514,0.1698,0.2269,0.5002,0.389,0.1107,0.2952,9.0,low
225,18,12,36.5887,24.2118,19.1304,0.9985,0.0342,0.1494,0.7296,0.1976,0.0728,0.0242,5.59,acceptable_delay
226,30,20,26.762,29.2461,12.4201,0.8604,0.027,0.0882,0.9097,0.0718,0.0184,0.0576,3.09,acceptable_delay
227,48,30,83.5063,53.095,67.4289,0.3143,0.6186,0.4048,0.3678,0.2417,0.3905,0.6979,34.21,high
228,42,30,56.2255,51.5567,44.7397,0.6417,0.295,0.2748,0.4629,0.3175,0.2196,0.2804,13.49,medium
229,36,24,32.416,38.8931,35.9177,0.7443,0.1758,0.1162,0.7224,0.2216,0.0559,0.1706,8.3,low
230,24,12,37.4499,25.1914,16.0096,0.9539,0.0619,0.0481,0.7968,0.1449,0.0583,0.0252,3.59,acceptable_delay
231,30,36,57.8647,42.0346,84.4795,0.2834,0.4046,0.3511,0.0206,0.3334,0.646,0.6249,28.54,high
232,30,48,70.2268,49.758,65.4766,0.3355,0.3462,0.2755,0.0,0.3645,0.6597,0.5519,40.62,high
233,36,20,31.793,39.2333,33.6586,0.7321,0.0976,0.2463,0.4715,0.4136,0.1149,0.1932,8.18,low
234,36,80,100.64,69.4884,93.2649,0.1342,0.7338,0.4613,0.1261,0.2473,0.6266,0.7998,86.71,critical
235,30,20,59.6504,39.2844,43.4093,0.5611,0.1816,0.2571,0.318,0.402,0.28,0.2987,21.99,medium
236,42,30,65.9135,57.5552,66.5811,0.3403,0.301,0.3675,0.0887,0.3317,0.5796,0.6098,60.0,high
237,48,24,65.0136,49.4076,60.7803,0.4114,0.6193,0.5562,0.2656,0.2378,0.4966,0.6043,34.59,high
238,48,36,91.8991,61.841,114.0227,0.1697,0.5678,0.6373,0.128,0.2119,0.6601,0.742,78.56,critical
239,36,60,86.1079,53.2376,79.0353,0.1339,0.7526,0.5286,0.0,0.2154,0.8314,0.9164,110.68,critical
240,24,30,44.6377,50.5913,43.832,0.6597,0.2518,0.1964,0.3712,0.3527,0.2761,0.3971,15.4,medium
241,24,30,43.4234,44.1053,57.8722,0.7152,0.2171,0.2676,0.1748,0.519,0.3062,0.3005,19.48,medium
242,30,20,32.6472,23.2619,15.9022,0.9545,0.0141,0.0198,0.7423,0.2146,0.0432,0.07,5.69,acceptable_delay
243,30,20,41.1068,41.132,28.9213,0.84,0.1486,0.1604,0.6676,0.2812,0.0513,0.1191,11.6,low
244,24,24,54.0137,35.1235,51.2806,0.7169,0.3099,0.4037,0.36,0.3811,0.2588,0.3076,18.28,medium
245,18,16,35.1422,31.0633,23.5539,0.8684,0.0328,0.003,0.7617,0.1758,0.0624,0.0528,5.5,acceptable_delay
246,48,80,77.9787,60.0488,112.0955,0.2684,0.6974,0.3884,0.1499,0.0991,0.751,0.7185,66.0,critical
247,36,24,43.5677,44.8007,44.5409,0.4971,0.2992,0.2906,0.0496,0.5735,0.3768,0.4897,19.7,medium
248,42,20,54.3807,42.8302,38.9069,0.7063,0.3258,0.3,0.2847,0.4604,0.2548,0.2779,21.6,medium
249,36,20,64.9725,48.1128,42.9873,0.6171,0.1581,0.2458,0.433,0.3552,0.2118,0.3412,21.41,medium
250,36,36,59.8342,49.9766,37.2756,0.609,0.2319,0.3525,0.2115,0.4361,0.3524,0.3732,16.0,medium
251,42,36,42.2129,36.9989,61.8851,0.6528,0.3348,0.2451,0.229,0.5469,0.2241,0.364,14.61,medium
252,48,24,77.3488,55.1092,68.0072,0.3711,0.6189,0.3115,0.1084,0.4154,0.4762,0.6711,42.53,high
253,42,30,83.2564,50.4228,64.6204,0.478,0.442,0.3782,0.2475,0.268,0.4845,0.5082,51.9,high
254,24,16,35.5457,30.811,32.7718,0.8792,0.091,0.2182,0.7302,0.1967,0.0731,0.2018,6.96,low
255,36,24,58.1611,36.6555,45.9967,0.6579,0.1712,0.3738,0.3593,0.4562,0.1845,0.2807,20.64,medium
256,30,24,43.0123,43.7125,57.0219,0.5574,0.2816,0.3299,0.2366,0.3985,0.3649,0.4025,15.33,medium
257,36,60,85.0908,60.2798,83.9894,0.1814,0.7015,0.6759,0.0,0.2795,0.7617,0.843,107.49,critical
258,24,16,32.8246,29.7235,18.5537,0.8217,0.006,0.1325,0.794,0.1337,0.0723,0.1875,3.03,acceptable_delay
259,24,20,24.4212,23.4644,13.2165,0.8941,0.0396,0.0994,0.7935,0.1745,0.032,0.0401,1.0,acceptable_delay
260,24,20,42.6037,48.4387,57.7008,0.6046,0.3057,0.2562,0.3591,0.4517,0.1892,0.3578,19.44,medium
261,18,12,21.1523,31.6048,26.5277,0.9454,0.0032,0.1254,0.9264,0.0473,0.0262,0.0297,2.03,acceptable_delay
262,30,48,79.8866,50.3449,66.224,0.5188,0.483,0.5546,0.1009,0.2402,0.6589,0.5055,59.37,high
263,42,20,58.3882,48.4514,59.9,0.6166,0.2029,0.2027,0.3061,0.4693,0.2246,0.3198,24.0,medium
264,42,36,77.6289,43.2931,52.1974,0.3729,0.5345,0.4545,0.1459,0.2016,0.6526,0.6701,51.81,high
265,18,12,31.6342,29.5176,15.3365,0.9354,0.0089,0.0652,0.7525,0.2112,0.0363,0.1263,1.85,acceptable_delay
266,18,16,32.3204,31.8185,18.3904,0.9009,0.0223,0.1304,0.879,0.0603,0.0607,0.0895,1.41,acceptable_delay
267,48,30,62.9352,48.6005,74.2801,0.4037,0.5269,0.4983,0.0975,0.2725,0.6301,0.637,38.51,high
268,36,36,86.2326,59.3882,96.7724,0.3596,0.8062,0.3961,0.0,0.2752,0.8222,0.7096,106.62,critical
269,42,30,105.2953,71.3703,106.168,0.3677,0.8213,0.5948,0.0,0.2396,0.7616,0.7142,87.24,critical
270,36,30,82.5288,47.5894,50.1109,0.4612,0.4393,0.5341,0.0352,0.3005,0.6643,0.5203,56.99,high
271,24,30,56.5517,51.5277,43.7632,0.7071,0.3356,0.2434,0.2698,0.5495,0.1807,0.2902,24.0,medium
272,30,30,57.0865,44.5735,47.406,0.6861,0.1794,0.3684,0.1415,0.557,0.3014,0.2412,22.96,medium
273,60,30,97.4699,60.1234,77.517,0.1204,0.728,0.7248,0.1841,0.1927,0.6233,0.8015,87.81,critical
274,36,24,77.6398,61.4464,61.8355,0.3914,0.5403,0.4125,0.1266,0.3217,0.5517,0.6294,40.41,high
275,30,24,43.7278,49.27,48.8695,0.7086,0.2388,0.271,0.4502,0.314,0.2359,0.3552,15.95,medium
276,24,12,26.2979,27.5504,17.4792,0.8895,0.0065,0.0337,0.9257,0.0488,0.0255,0.1266,1.47,acceptable_delay
277,30,36,53.2384,46.6957,60.773,0.6367,0.2288,0.346,0.1895,0.4776,0.3329,0.3873,23.88,medium
278,24,36,58.1596,47.7444,41.5941,0.6574,0.3497,0.3776,0.2091,0.4384,0.3525,0.3915,21.65,medium
279,36,36,60.0631,40.7634,44.7285,0.6854,0.2405,0.3938,0.2756,0.3963,0.3281,0.2836,19.61,medium
280,24,20,36.3499,37.2454,43.972,0.7037,0.0981,0.2295,0.4918,0.3637,0.1445,0.2973,8.72,low
281,36,16,40.4454,34.7356,27.9549,0.7101,0.1422,0.131,0.6369,0.2565,0.1066,0.2943,6.3,low
282,42,24,56.725,40.4432,35.8457,0.6243,0.2299,0.4048,0.3578,0.409,0.2331,0.3369,14.55,medium
283,30,20,48.1184,47.1584,46.2052,0.6311,0.2015,0.3608,0.212,0.5162,0.2718,0.2835,18.93,medium
284,30,36,47.2343,47.2967,40.6666,0.5361,0.2733,0.3126,0.2179,0.5243,0.2578,0.3835,15.0,medium
285,30,24,29.6897,22.1029,29.9886,0.994,0.0672,0.0842,0.8688,0.0837,0.0475,0.0864,2.53,acceptable_delay
286,30,36,72.5698,55.9643,67.1885,0.5236,0.3939,0.3037,0.2731,0.2695,0.4574,0.4241,32.34,high
287,42,60,62.7351,52.2979,71.5082,0.5155,0.4392,0.4034,0.2209,0.4143,0.3647,0.4774,27.97,high
288,30,36,72.6442,60.3267,62.6518,0.4639,0.517,0.2717,0.1462,0.4067,0.4471,0.5401,53.06,high
289,18,12,29.1615,27.8264,21.9225,0.9313,0.0621,0.0571,0.8408,0.0865,0.0727,0.1097,2.86,acceptable_delay
290,36,48,62.6028,42.2086,74.2383,0.2913,0.5455,0.2925,0.1958,0.199,0.6051,0.6202,33.15,high
291,36,30,66.9029,42.2343,66.8272,0.5116,0.3601,0.5369,0.0013,0.2895,0.7092,0.582,42.29,high
292,36,20,54.2238,46.6276,45.9831,0.559,0.1687,0.3982,0.3471,0.3239,0.329,0.4142,15.82,medium
293,18,12,37.9717,33.8622,18.5255,0.8394,0.057,0.0665,0.8369,0.0912,0.0719,0.097,1.7,acceptable_delay
294,42,24,60.8662,49.3093,49.7614,0.6772,0.2931,0.3862,0.2983,0.4097,0.2919,0.3583,16.16,medium
295,42,24,62.6971,49.8989,35.4188,0.509,0.2053,0.3131,0.1332,0.5029,0.3639,0.3639,13.86,medium
296,36,24,46.4742,38.3986,30.1289,0.8002,0.1087,0.0993,0.6861,0.2389,0.0749,0.2295,9.18,low
297,48,48,69.2072,46.8718,75.318,0.4423,0.4544,0.3824,0.2043,0.4308,0.3648,0.4906,60.0,high
298,30,20,37.9485,32.4547,18.6794,0.8377,0.0507,0.1309,0.8026,0.1619,0.0355,0.1963,1.71,acceptable_delay
299,36,30,109.3125,71.8305,112.6515,0.1009,0.5838,0.6615,0.0,0.2861,0.8542,0.8929,71.19,critical
300,42,48,68.5387,59.6108,75.8628,0.4556,0.3234,0.4638,0.2018,0.3225,0.4757,0.5247,55.52,high
301,24,24,62.5988,45.0904,44.9866,0.6359,0.2297,0.2853,0.2766,0.4564,0.267,0.4015,14.11,medium
302,18,24,35.3058,23.6434,26.2378,0.8578,0.059,0.1034,0.7852,0.1459,0.0689,0.1262,4.44,acceptable_delay
303,60,80,88.658,71.9649,76.1889,0.1135,0.8415,0.4464,0.1511,0.2197,0.6293,0.8633,72.5,critical
304,30,48,58.5777,35.7448,40.1761,0.6121,0.203,0.3905,0.1017,0.552,0.3463,0.4227,23.97,medium
305,18,20,45.5746,42.192,38.9223,0.7071,0.1096,0.1567,0.6051,0.3217,0.0733,0.2648,7.58,low
306,30,48,62.1393,44.1122,56.0479,0.5065,0.3533,0.3266,0.3784,0.4419,0.1797,0.4974,13.69,medium
307,18,24,20.7307,33.413,29.2766,0.911,0.0396,0.1027,0.7772,0.1896,0.0333,0.0942,1.0,acceptable_delay
308,30,30,37.0254,38.5961,29.9523,0.8096,0.1311,0.2348,0.6883,0.2532,0.0585,0.1601,6.1,low
309,30,24,31.8063,28.3957,16.0424,0.9999,0.0683,0.016,0.8713,0.0982,0.0305,0.0265,2.92,acceptable_delay
310,30,20,41.8992,42.8786,27.4552,0.8476,0.147,0.1273,0.5376,0.3197,0.1428,0.1475,11.16,low
311,24,24,56.5258,46.6972,35.912,0.66,0.3207,0.2707,0.2323,0.5255,0.2422,0.4023,22.72,medium
312,36,16,43.0763,41.6049,33.3431,0.7784,0.1425,0.1216,0.688,0.2465,0.0655,0.2737,7.27,low
313,18,12,26.4675,35.8359,18.7079,0.9995,0.0502,0.1251,0.7763,0.2031,0.0206,0.1064,1.0,acceptable_delay
314,42,48,43.8664,49.9042,52.5842,0.6093,0.3374,0.3759,0.4306,0.317,0.2524,0.4501,17.96,medium
315,36,24,52.1743,35.1027,58.4864,0.4968,0.1904,0.3322,0.4762,0.3413,0.1826,0.3341,20.89,medium
316,42,30,55.017,43.3246,80.0594,0.3517,0.4545,0.2718,0.0318,0.4449,0.5233,0.6609,43.39,high
317,48,24,73.6625,60.7059,81.0882,0.4943,0.3385,0.5583,0.0949,0.2091,0.696,0.5397,47.05,high
318,48,36,81.4581,49.3616,50.7328,0.4975,0.3461,0.4018,0.0608,0.3262,0.613,0.4639,41.58,high
319,48,30,65.553,52.7553,78.8311,0.4647,0.4388,0.4178,0.0184,0.3174,0.6642,0.581,27.6,high
320,30,30,74.7878,60.3049,61.5763,0.3278,0.4248,0.3254,0.022,0.2885,0.6895,0.5824,48.66,high
321,48,48,78.366,73.9673,96.2914,0.3255,0.5605,0.5673,0.0,0.2343,0.8612,0.655,66.58,critical
322,18,30,41.6601,38.6259,25.8696,0.7141,0.0941,0.2142,0.6769,0.1927,0.1303,0.2567,6.28,low
323,24,16,45.5905,30.9756,39.4715,0.861,0.1373,0.1576,0.5796,0.2434,0.177,0.1112,11.78,low
324,36,36,79.8933,59.0763,59.7184,0.3313,0.4942,0.4147,0.0791,0.4099,0.511,0.6209,50.51,high
325,42,48,66.2475,48.0757,71.674,0.5283,0.5033,0.4458,0.0,0.4438,0.6013,0.5306,38.56,high
326,30,20,44.7275,41.124,49.7427,0.5601,0.2918,0.24,0.1681,0.5105,0.3214,0.456,15.88,medium
327,42,24,68.0314,58.3481,81.6877,0.3208,0.6027,0.3216,0.3364,0.3075,0.3561,0.6057,33.74,high
328,36,48,61.676,49.9771,54.6803,0.5458,0.328,0.1855,0.1436,0.4833,0.3731,0.4502,22.64,medium
329,18,30,40.1199,40.3873,43.0991,0.7108,0.1008,0.1622,0.5819,0.2545,0.1636,0.2197,10.17,low
330,42,60,87.9602,65.933,92.0532,0.3658,0.7251,0.4099,0.2564,0.1416,0.602,0.6888,107.0,critical
331,42,60,86.161,67.6542,103.2579,0.1495,0.5632,0.49,0.1364,0.1151,0.7486,0.8453,97.07,critical
332,36,24,42.6207,32.2987,37.69,0.6809,0.0928,0.2094,0.5646,0.3635,0.0719,0.2427,10.11,low
333,42,80,99.8709,55.3522,84.6806,0.1539,0.6331,0.4334,0.301,0.0947,0.6043,0.797,103.37,critical
334,36,48,64.4947,46.914,75.8463,0.4859,0.4557,0.4514,0.0443,0.3233,0.6325,0.5623,26.94,high
335,24,30,48.408,31.4682,33.2257,0.6892,0.0914,0.1334,0.5157,0.3427,0.1416,0.2871,10.17,low
336,24,20,43.6963,50.6523,60.6478,0.6986,0.2825,0.3578,0.2425,0.5073,0.2502,0.3461,22.14,medium
337,18,16,47.1917,31.0911,37.032,0.8534,0.1681,0.1492,0.565,0.3378,0.0972,0.1183,12.0,low
338,24,30,60.7169,35.2753,59.2097,0.6005,0.3322,0.3478,0.284,0.4168,0.2992,0.3817,17.79,medium
339,30,30,34.4419,37.4966,26.083,0.8399,0.1174,0.1719,0.6102,0.2745,0.1153,0.1967,8.09,low
340,48,30,61.2837,48.524,58.1703,0.5154,0.4,0.5522,0.0,0.3924,0.7098,0.5307,46.77,high
341,36,48,48.8915,40.5865,37.8309,0.6903,0.3412,0.299,0.1668,0.4716,0.3616,0.384,18.28,medium
342,18,16,30.3761,36.2953,33.6249,0.7193,0.0639,0.1922,0.5803,0.2926,0.1271,0.2798,6.13,low
343,24,20,48.4963,30.4794,27.8318,0.8108,0.1165,0.2361,0.5957,0.3483,0.056,0.1257,6.31,low
344,30,36,53.1364,45.9581,46.7087,0.6171,0.1709,0.1952,0.1224,0.5186,0.359,0.3016,21.89,medium
345,42,36,44.1378,43.7268,61.2783,0.6423,0.286,0.3513,0.1978,0.4382,0.3641,0.3877,14.18,medium
346,24,20,44.6099,31.669,32.7481,0.8001,0.1659,0.1657,0.4849,0.4151,0.1,0.2629,10.47,low
347,30,24,34.0442,31.6538,38.8442,0.6919,0.0764,0.2248,0.6693,0.2211,0.1096,0.2169,11.71,low
348,30,24,47.0171,47.7225,54.8536,0.4822,0.3025,0.3182,0.1174,0.5765,0.306,0.4021,24.0,medium
349,42,48,65.069,58.0629,79.8769,0.4917,0.4303,0.3629,0.0,0.3742,0.6989,0.5508,43.6,high
350,42,20,45.0107,47.7885,50.6704,0.6732,0.3285,0.3503,0.4157,0.3291,0.2552,0.2958,20.88,medium
351,48,30,81.7707,56.2482,52.5537,0.335,0.3662,0.4613,0.2153,0.429,0.3558,0.5178,52.07,high
352,30,12,27.1083,34.4059,21.5134,0.9493,0.0307,0.0599,0.8275,0.1606,0.0118,0.1238,5.51,acceptable_delay
353,30,30,62.2007,54.0784,83.4972,0.525,0.5307,0.3879,0.0143,0.3505,0.6352,0.5753,54.97,high
354,36,48,48.7317,46.1119,49.2248,0.5442,0.2965,0.3008,0.2875,0.5501,0.1624,0.4228,20.22,medium
355,48,30,85.8912,63.0995,96.6768,0.1188,0.5683,0.4311,0.0414,0.2843,0.6743,0.8499,83.09,critical
356,48,60,70.3401,45.8606,81.9622,0.4036,0.5314,0.329,0.1028,0.3725,0.5247,0.5541,30.52,high
357,30,36,57.3777,60.6402,65.8585,0.3592,0.5747,0.3419,0.0692,0.2419,0.6889,0.6318,44.98,high
358,18,16,25.9693,25.9004,11.3884,0.9592,0.0281,0.0764,0.7553,0.1903,0.0544,0.0454,1.25,acceptable_delay
359,30,24,61.3528,43.8569,43.2334,0.6127,0.1758,0.354,0.378,0.2908,0.3312,0.3083,19.05,medium
360,36,48,78.0914,56.6254,51.3799,0.5403,0.4891,0.3458,0.0,0.3032,0.7188,0.5072,27.51,high
361,48,36,58.119,57.6184,74.7985,0.4314,0.568,0.374,0.0282,0.4298,0.542,0.578,48.28,high
362,42,48,52.3521,49.9159,61.7637,0.4902,0.3553,0.1937,0.1782,0.4899,0.3318,0.4752,14.77,medium
363,24,20,47.5329,50.1997,40.0498,0.4869,0.289,0.2886,0.2308,0.5581,0.2111,0.3724,17.75,medium
364,48,36,57.7724,49.1031,62.7265,0.4885,0.4674,0.5237,0.1698,0.226,0.6042,0.6051,46.73,high
365,42,48,61.5121,35.9774,35.1591,0.5905,0.2127,0.2057,0.2728,0.4967,0.2304,0.3399,13.24,medium
366,18,16,19.0498,27.7862,24.3472,0.8381,0.0617,0.0008,0.7494,0.2065,0.044,0.1311,5.98,acceptable_delay
367,30,16,34.1444,33.8322,29.4909,0.9673,0.0491,0.0964,0.7914,0.2065,0.0021,0.1091,1.2,acceptable_delay
368,42,36,84.6345,59.7298,52.4111,0.3164,0.396,0.3799,0.1466,0.4481,0.4053,0.6263,51.7,high
369,60,30,102.5869,71.3796,98.6926,0.1307,0.5232,0.6841,0.2453,0.1025,0.6522,0.7949,118.49,critical
370,42,36,51.0364,38.7381,57.2499,0.646,0.254,0.221,0.3321,0.4711,0.1968,0.3592,15.5,medium
371,48,80,95.2869,68.3222,91.0982,0.2018,0.8034,0.665,0.0087,0.122,0.8693,0.8407,82.81,critical
372,24,20,34.7581,30.535,31.3325,0.7053,0.0912,0.1114,0.6886,0.1883,0.1231,0.2123,8.07,low
373,30,16,31.7264,30.9364,19.5147,0.9893,0.0287,0.045,0.8315,0.1549,0.0136,0.0547,1.77,acceptable_delay
374,42,60,76.1902,64.2805,71.6347,0.1399,0.5316,0.6767,0.0,0.2355,0.8736,0.7771,102.65,critical
375,18,12,36.1016,33.611,16.631,0.8277,0.0369,0.0252,0.768,0.1861,0.0459,0.128,1.31,acceptable_delay
376,18,20,23.0078,27.2058,28.076,0.8498,0.0317,0.0458,0.8696,0.0745,0.056,0.1523,3.12,acceptable_delay
377,24,48,48.1523,37.57,53.6337,0.6037,0.2906,0.3495,0.2255,0.4113,0.3631,0.3836,22.59,medium
378,36,36,88.0517,58.3798,90.9134,0.1258,0.8268,0.6282,0.0022,0.1235,0.8743,0.8927,89.32,critical
379,30,16,42.908,41.768,25.6962,0.8279,0.1559,0.0893,0.4895,0.3412,0.1693,0.1622,8.86,low
380,36,36,67.1917,57.0474,51.5018,0.3665,0.4263,0.3136,0.1003,0.2809,0.6188,0.5921,56.15,high
381,30,30,34.4511,38.7274,29.0567,0.7209,0.0812,0.2423,0.5648,0.3281,0.1071,0.2502,12.0,low
382,30,48,62.5647,43.841,58.5886,0.5043,0.502,0.281,0.2384,0.2711,0.4905,0.5413,42.78,high
383,60,60,100.5221,66.1038,77.1298,0.159,0.6836,0.4555,0.1,0.0601,0.8399,0.7875,116.95,critical
384,30,12,35.0269,22.9593,11.3592,0.9751,0.0323,0.1412,0.8144,0.14,0.0456,0,1.14,acceptable_delay
385,30,16,41.6054,42.5026,26.6013,0.826,0.1232,0.2261,0.6054,0.2471,0.1476,0.1871,9.57,low
386,42,48,63.2243,56.2987,81.4458,0.3824,0.5809,0.567,0.0639,0.3321,0.604,0.6549,29.57,high
387,42,30,44.83,37.1899,40.5682,0.5187,0.2681,0.3843,0.268,0.574,0.1581,0.3997,17.59,medium
388,36,24,52.7619,47.2921,42.4764,0.7156,0.2251,0.3854,0.3496,0.3847,0.2657,0.3227,16.78,medium
389,48,48,71.5095,56.5247,81.1077,0.406,0.5072,0.4215,0.0231,0.3359,0.641,0.6523,40.92,high
390,24,36,50.5487,46.9238,52.8942,0.4977,0.3259,0.3889,0.4535,0.3896,0.1569,0.3686,14.37,medium
391,30,16,32.428,30.1693,13.4102,0.9332,0.0496,0.1262,0.8288,0.1593,0.0118,0.0178,4.39,acceptable_delay
392,42,60,100.0933,50.0245,103.3858,0.2439,0.7101,0.7129,0.0,0.2996,0.7246,0.7139,120.0,critical
393,30,20,30.5775,35.983,39.1541,0.776,0.1354,0.1258,0.6054,0.2591,0.1355,0.1503,9.7,low
394,36,36,64.0755,49.1624,53.1739,0.6563,0.3172,0.3719,0.1892,0.4666,0.3442,0.3354,22.72,medium
395,42,36,60.7104,37.5188,42.6524,0.5088,0.2318,0.3193,0.367,0.4751,0.1578,0.4154,19.51,medium
396,42,24,61.1453,44.6963,47.7908,0.5645,0.2799,0.3141,0.5181,0.3001,0.1817,0.3706,16.98,medium
397,42,80,90.3879,73.3494,75.4912,0.3019,0.6827,0.626,0.0984,0.2146,0.687,0.7637,107.44,critical
398,36,48,67.6897,58.3717,50.382,0.3505,0.3461,0.2583,0.0231,0.3858,0.5911,0.5208,44.01,high
399,36,30,62.4239,41.6474,46.2669,0.7185,0.215,0.1899,0.3474,0.383,0.2696,0.3055,18.19,medium
400,42,48,49.676,42.5028,44.9841,0.4918,0.2303,0.4027,0.4686,0.3368,0.1946,0.3625,16.74,medium
401,36,24,42.3449,46.1179,35.3235,0.5311,0.1962,0.3379,0.3188,0.4672,0.214,0.315,23.36,medium
402,36,24,39.0298,41.3556,27.6702,0.7147,0.1312,0.1357,0.7131,0.2003,0.0866,0.2207,8.43,low
403,42,30,74.6532,56.7491,61.6433,0.4614,0.5879,0.5463,0.1411,0.4463,0.4126,0.5956,38.77,high
404,24,36,48.909,51.7312,53.4765,0.5521,0.2022,0.2827,0.2739,0.4453,0.2808,0.4375,19.44,medium
405,36,20,41.0783,33.7777,42.1073,0.7178,0.0684,0.223,0.5452,0.343,0.1118,0.1776,12.0,low
406,30,12,31.3573,29.7644,28.6351,0.8386,0.0703,0.0397,0.7578,0.1711,0.0712,0.1023,1.57,acceptable_delay
407,18,16,21.424,30.7427,28.04,0.8808,0.0739,0.0062,0.8855,0.0454,0.0691,0.1909,4.03,acceptable_delay
408,30,20,30.5563,27.2524,11.5103,0.963,0.0615,0.0604,0.778,0.162,0.06,0.1306,2.82,acceptable_delay
409,30,60,57.8474,61.3346,58.3515,0.4366,0.527,0.4493,0.0,0.3739,0.6517,0.5313,49.63,high
410,18,20,38.2923,34.2929,27.2668,0.815,0.1175,0.1804,0.5872,0.2786,0.1341,0.1512,7.1,low
411,24,16,21.5177,35.4115,20.3592,0.829,0.0199,0.1273,0.7812,0.1823,0.0365,0.1589,5.71,acceptable_delay
412,36,36,91.5601,52.0892,96.2538,0.1262,0.5914,0.5696,0.074,0.061,0.865,0.8164,113.59,critical
413,42,30,70.333,48.198,57.5748,0.3288,0.4069,0.4149,0.0092,0.3744,0.6164,0.6078,41.31,high
414,42,20,60.4306,44.8235,38.4795,0.6327,0.3552,0.2217,0.2069,0.4352,0.358,0.3835,15.35,medium
415,36,36,57.1159,61.2671,59.6676,0.521,0.3395,0.4941,0.0796,0.221,0.6994,0.4923,50.85,high
416,30,48,63.8959,41.3113,51.322,0.5933,0.1942,0.2592,0.0994,0.5789,0.3218,0.4201,15.88,medium
417,30,30,47.9195,42.6049,40.0832,0.8788,0.14,0.2159,0.4539,0.4014,0.1447,0.1378,6.86,low
418,30,30,55.0696,42.5817,57.8495,0.6001,0.3144,0.2142,0.3952,0.3305,0.2743,0.3497,24.0,medium
419,30,16,29.072,33.7712,26.3681,0.8954,0.0428,0.13,0.7645,0.1975,0.038,0.1028,1.76,acceptable_delay
420,30,24,26.3155,24.8957,18.4029,0.9829,0.0467,0.1043,0.756,0.1755,0.0685,0.047,1.0,acceptable_delay
421,42,24,75.7427,61.5045,68.6459,0.4464,0.3201,0.4576,0.0,0.4162,0.6956,0.5481,35.65,high
422,36,20,43.0573,30.0113,25.7567,0.7581,0.0782,0.1361,0.7182,0.1809,0.1009,0.2307,10.83,low
423,48,36,77.6431,61.1862,61.2966,0.3101,0.4862,0.5499,0.0596,0.3313,0.6091,0.6826,46.19,high
424,30,24,63.8735,46.1417,78.968,0.4637,0.3214,0.3994,0.1709,0.4351,0.394,0.5031,26.57,high
425,36,36,54.2006,51.2237,58.703,0.6818,0.3338,0.3403,0.2682,0.469,0.2628,0.3583,19.29,medium
426,24,20,42.4834,33.7775,31.9059,0.8145,0.1778,0.1905,0.5245,0.3009,0.1746,0.2388,7.58,low
427,30,48,62.879,45.576,54.9555,0.6846,0.2945,0.2209,0.3633,0.33,0.3067,0.3143,19.66,medium
428,18,20,34.6339,23.0742,27.285,0.974,0.0492,0.0761,0.8277,0.1353,0.037,0.1055,4.92,acceptable_delay
429,24,48,53.23,41.179,42.7389,0.5782,0.2801,0.3433,0.3149,0.4337,0.2514,0.4012,16.24,medium
430,48,48,70.6727,62.3817,92.1347,0.1788,0.5568,0.6357,0.1714,0.0849,0.7437,0.7467,115.51,critical
431,24,24,33.1899,34.1406,26.4203,0.9127,0.0127,0.0467,0.9037,0.0558,0.0405,0.1371,4.06,acceptable_delay
432,24,24,35.7618,27.7934,26.5484,0.8918,0.0584,0.0469,0.8966,0.0784,0.025,0.1743,4.13,acceptable_delay
433,36,30,45.5243,37.9031,41.4866,0.824,0.1073,0.2397,0.567,0.3087,0.1244,0.1974,9.52,low
434,36,20,44.7524,30.4356,34.2167,0.8342,0.1225,0.247,0.545,0.3435,0.1115,0.1484,8.37,low
435,36,30,83.9642,57.6319,70.0296,0.5261,0.5266,0.4511,0.1018,0.2473,0.6509,0.5551,58.41,high
436,36,24,43.7842,30.1537,29.215,0.7962,0.0991,0.1842,0.6046,0.3117,0.0838,0.1476,9.2,low
437,24,20,51.5738,46.9744,43.4766,0.6538,0.309,0.288,0.2818,0.3824,0.3358,0.422,22.43,medium
438,24,20,61.5967,37.7061,37.6066,0.5055,0.3462,0.2943,0.1008,0.5744,0.3248,0.4978,22.04,medium
439,42,80,97.2613,57.961,71.4578,0.1641,0.7626,0.7339,0.1463,0.2464,0.6073,0.822,106.98,critical
440,24,16,37.3918,30.5483,25.0478,0.9611,0.0187,0.0359,0.7437,0.179,0.0772,0.1252,1.97,acceptable_delay
